time_points	Observed	Females.last	Hermaphroditic	Rhabdias.like
0	1	1	1	1
8	1	1	1	1
16	1	1	1	1
24	19	19	19	18
32	50	51	51	50
40	91	92	92	91
48	129	131	131	130
56	168	171	171	170
64	205	209	209	207
72	245	249	249	247
80	271	276	276	273
88	389	304	409	557
96	779	325	890	1458
104	1682	646	1973	3395
112	3260	1720	3830	6609
120	5800	4052	6703	11024
128	9412	7838	10692	16461
136	14513	13185	16209	22863
144	21046	20015	23219	29999
152	29114	28653	31770	37688
160	39070	38882	42506	45548
168	55310	50252	61129	57552
176	87227	61913	100159	87970
184	150183	78253	178643	165906
192	265820	115287	323267	333726
200	463027	206531	567821	639494
208	774529	398892	949906	1127982
216	1242557	748919	1514469	1839309
224	1910361	1314495	2307188	2803838
232	2844532	2164481	3400763	4106525
240	4175048	3371255	4966935	6069007
248	6199432	4997738	7421272	9596496
256	9486976	7069023	11569493	16611475
264	15068312	9648963	18833384	30368379
272	24620719	13096978	31479522	55506185
280	40698994	18571460	52850673	97887308
288	66946062	28575463	87605215	164251771
296	108350789	47459287	141931729	261832540
304	171525024	81689517	223939446	397836157
312	265967508	140247364	345487034	579859348
320	406837287	234968144	526760753	820473565
328	620580123	380595952	804900772	1151223868
336	953963476	593780853	1247785644	1650945458
344	1488658465	892631618	1975051705	2488957543
352	2360649148	1301046585	3185191329	3977147406
360	3787262480	1865749393	5190810492	6622178198
368	6101321410	2691157035	8461966026	11168360909
376	9796237351	3994272922	13681554892	18641427391
384	15593197003	6175359335	21836247945	30459412229
392	24562657865	9905436370	34398350586	48789801308
400	38345384330	16230880359	53681947461	77481773563
408	59558823453	26691380567	83502772682	123998678965
416	92498782086	43422075735	130318596451	202721558296
424	144291780472	69224420218	205055576696	339779600506
432	226665406087	107672111294	325845236630	579240906130
440	358582621802	163532576111	521963225765	990212737147
448	569987211737	244007624315	839285279338	1674176284643
456	907179401139	361472165732	1348017596027	2771959206194
464	1440825488476	538384185485	2154506905058	4471054963199
472	2278613950541	815066640672	3420779282810	7018295831093
480	3586115326908	1261101750038	5398346403240	10752047408256
488	5622058229510	1991096048011	8487234520055	16182204575556
496	8797490255579	3184929208329	13336560816273	24161969696555
504	13772991120944	5111704492072	21009500326381	36207073913246
512	21613827271381	8156890795335	33243717408773	55020036819713
520	34030768151240	12857396620424	52848409959478	85270866058262
528	53745165289907	19961833000396	84296074266235	134691940787810
536	85038970061542	30553542877513	134605723694612	215621352798114
544	134588630350182	46298147358271	214689578721953	347383977495200
552	212754111886910	69904248755206	341475630968803	560473230361933
560	335618102538086	105915367806491	541360669268782	904494753108127
568	528274059057217	161984421540024	855930386361380	1463241290525459
576	830168574669555	250804527667880	1351438865751997	2381888699769956
584	1303761833780263	392864690430376	2134326343937548	3912788009809154
592	2048414209931991	620170370747318	3376125383948126	6487267102046407
600	3222330967172182	981114985653407	5352601115390643	10820928641015838
608	5076776314700733	1547006754002194	8504304147661089	18059290579674168
616	8008973477291419	2421618130806765	13529674761265108	29970794426892768
624	12643733570440820	3756754300263406	21528790325596232	49199710309721392
632	19960050665039112	5779407388079160	34228155622956548	79611471468806400
640	31489278375713200	8839720488756406	54337948822685696	126811593494189728
648	49628552318181848	13493934342680914	86127377064069072	199013132886228992
656	78140234559245936	20642665071352552	136357313545295424	308580092443801728
664	122950160255898304	31751640338863776	215790131613423840	474790088764760192
672	193420817044926912	49188311692667600	341615516544491584	728636658632977408
680	304370894736989376	76713953667390688	541307347643239360	1120841834983033856
688	479257109475749248	120181950292269344	858696206720119168	1734757591490522880
696	755157858779162880	188522023200616160	1363469682068005888	2706762627563273728
704	1190552876463809024	295159049220589632	2166015394530571264	4258685457594555392
712	1877466876194846208	460153975999303552	3440696582850174464	6750711287846200320
720	2960478529052722176	713600567551150336	5462605299198921728	1.0770598074415e+19
728	4666610227938664448	1101211694537524352	8666038339443202048	17287532885925732352
736	7352540031362564096	1693634170491055872	13738059716734474240	27918183886890561536
744	11579405535909101568	2601884421855375872	21768510902687252480	45379418015066398720
752	18231426595092172800	4002409775445469184	34490124571317813248	74236722022195576832
760	28703773607541391360	6176641356533184512	54661219693902225408	1.22098701502776e+20
768	45199291722769457152	9571571811196616704	86672468986135625728	2.01456094120915e+20
776	71195689771892400128	14890198386666164224	1.37504671303659e+20	3.32424032660824e+20
784	1.12179269854914e+20	23224518970622316544	2.1823698371391e+20	5.46739230356208e+20
792	1.76795853400597e+20	36250941419815510016	3.46422422382515e+20	8.93539006831409e+20
800	2.78656625475392e+20	56521449927494066176	5.49838353175413e+20	1.4478028902217e+21
808	4.39175883569355e+20	87908215446403203072	8.72429271494051e+20	2.32302799633487e+21
