time_points	Observed	Females.last	Hermaphroditic	Rhabdias.like
0	1	1	1	1
8	0	0	0	0
16	0	0	0	0
24	0	0	0	0
32	0	0	0	0
40	0	0	0	0
48	0	0	0	0
56	0	0	0	0
64	0	0	0	0
72	11	17	11	0
80	24	46	24	0
88	44	68	44	0
96	65	77	65	0
104	71	78	71	0
112	68	77	68	0
120	63	77	63	0
128	53	67	53	0
136	126	37	140	256
144	428	10	514	1136
152	975	289	1167	2802
160	1755	1275	2084	5128
168	2970	3153	3455	7616
176	4451	5721	5031	9845
184	6362	8639	6983	11837
192	8765	11627	9423	13539
200	11420	14882	12106	14826
208	14573	18269	15500	15549
216	21284	20729	23688	15512
224	36951	21379	43674	14918
232	68628	24944	83870	13872
240	127607	47399	158071	12356
248	225316	116115	278790	10594
256	369333	260543	453354	8758
264	572944	503751	694384	6995
272	844257	858024	1008090	5423
280	1203762	1337117	1417117	69574
288	1723983	1955564	2024359	518993
296	2573348	2702973	3075590	2211024
304	4045243	3522331	4991331	6783973
312	6658622	4398573	8491215	16619579
320	11221266	5630309	14652389	34463234
328	18836583	8231815	24863087	62942360
336	31014796	14210927	40970185	104164764
344	49704321	26585292	65265904	159495284
352	77270573	49151678	100518244	229382434
360	117371915	86422675	151337383	313053170
368	176587801	143675490	226924498	408316751
376	267214444	226512312	345318965	511606314
384	411941086	339385785	540393416	618217280
392	650849164	484926476	871766604	722751215
400	1048682598	668842556	1434009243	819544415
408	1704914893	916314137	2368674373	903138023
416	2766242943	1300795734	3878798002	968870977
424	4440398640	1980013802	6243875419	1030062784
432	7023772893	3230832936	9859525565	1224175888
440	10960816215	5482446698	15333483717	2177350044
448	16951230314	9351363329	23667640520	5888621086
456	26152436953	15671295882	36594756888	17372884878
464	40527991834	25486884609	57149476994	47094954822
472	63385906322	39998425026	90509485753	113914592790
480	100164376810	60548060893	145171983271	247998385690
488	159563387392	88927687901	234582354368	493087495260
496	255053785354	128422448617	379226862387	907608048100
504	407002513504	185970606032	609594469855	1564195373270
512	645997299826	275618200548	971133056685	2547256362776
520	1018330531958	423328034997	1533020666129	3948299894148
528	1595467280631	673244705737	2404120345704	5859021268752
536	2490658438428	1095461516789	3761671026252	8362559315325
544	3886879450301	1794594970106	5899674650091	11523715492896
552	6082026875222	2917519467334	9305866918390	15379140279039
560	9559638406564	4659436302675	14779467784267	19928625536641
568	15095574847110	7273251631378	23603879211778	25132916809350
576	23915231373778	11098796350565	37795495397046	30952330457668
584	37927694695408	16642699475643	60472978207663	37566161634712
592	60081255948979	24751083327669	96429046648021	46181909111825
600	94920099719758	36924434577316	153057608849621	61356757420506
608	149485785056063	55830407186888	241914340071405	96504887044947
616	234800743045461	86077121652721	381361161630135	185091203075804
624	368304553565007	135301576137305	600973990678143	400608872608549
632	577812203538910	215586964336037	948716297086633	888473394943516
640	907820701158979	345167346921743	1502281198502847	1912230488871570
648	1429347374682181	550418002761107	2386549347999533	3914931285662799
656	2255063552121620	868447729496641	3800114786339875	7594261760853910
664	3562453751749831	1351370370610130	6055654650717442	13987166077709432
672	5629366176639153	2074565440769676	9642214127905512	24556490172352752
680	8889265926418684	3152866277051285	15323564302458516	41268985010437440
688	14018423817310600	4770587987991071	24296972659008864	66651427960574872
696	22075157664106144	7233657206964825	38452573582025080	103810286167764848
704	34723600433311368	11054591392891834	60797562521471176	156400793205505696
712	54593061167367064	17082829678245744	96144264023137520	228534925149669728
720	85851155037303472	26692868146724732	152210243409843168	324633573520432192
728	135109336277305424	42041676686399128	2.41351613484e+17	449295582654616256
736	212841119831444448	66410651337147912	383265276784277568	607495844725453952
744	335589762469328896	104667785399031328	609183112687873536	806117193190706816
752	529399213338033088	163938782829398464	968401313915364352	1059482101476835200
760	835162099716709632	254677989900325568	1538536771731024896	1404933616638781440
768	1317004670500542976	392497003734204096	2441815745052934144	1940472277667782144
776	2075521093895754752	601357586920979840	3871181097712041472	2905639834222205952
784	3268771780296499712	919080593550740352	6132332710937337856	4839326345869868032
792	5145674296569619456	1406559721939097600	9711364311719143424	8863133055725093888
800	8099045206628761600	2162556076247208448	15383008394552588288	1.7154442305062e+19
808	12749573983023669248	3346429338094547456	24382620980637450240	33686466711518486528
