#M	#F	#H	%M	%F	%H
0	0	1	0.0	0.0	100.0
0	0	1	0.0	0.0	100.0
0	1	18	0.0	5.2631578947368425	94.73684210526316
1	11	39	1.9607843137254901	21.568627450980394	76.47058823529412
2	18	71	2.197802197802198	19.78021978021978	78.02197802197803
3	19	108	2.3076923076923075	14.615384615384615	83.07692307692308
4	19	147	2.3529411764705883	11.176470588235293	86.47058823529412
5	19	184	2.4038461538461537	9.134615384615385	88.46153846153847
6	19	223	2.4193548387096775	7.661290322580645	89.91935483870968
6	19	249	2.18978102189781	6.934306569343065	90.87591240875912
6	20	291	1.8927444794952681	6.309148264984227	91.7981072555205
6	38	468	1.171875	7.421875	91.40625
7	148	1058	0.5770816158285244	12.201154163231656	87.22176422093982
35	457	2223	1.289134438305709	16.832412523020256	81.87845303867404
90	878	4365	1.687605475342209	16.46352897056066	81.84886555409713
168	1412	7542	1.8417013812760359	15.479061609296206	82.67923700942775
276	2067	11952	1.9307450157397692	14.459601259181532	83.6096537250787
422	2785	17715	2.0170155816843516	13.311346907561418	84.67163751075422
605	3505	24930	2.0833333333333335	12.069559228650137	85.84710743801652
810	4245	33377	2.107618651124063	11.045482930890925	86.84689841798502
1021	5117	44567	2.013608125431417	10.091706932255201	87.89468494231338
1260	7233	63659	1.746313338507595	10.024670140813837	88.22901652067857
1748	13484	101438	1.4982429073455044	11.557384074740721	86.94437301791378
3078	27696	175448	1.4925662635412322	13.430186885977248	85.07724685048152
5847	53557	313780	1.5667874292574173	14.351365546218487	84.0818470245241
10944	96481	547652	1.670643298421407	14.728192258314671	83.60116444326393
19425	159738	917858	1.7707044805887946	14.561070389719067	83.66822512969213
32458	245439	1469489	1.8575174575050961	14.04606652451147	84.09641601798343
51143	356170	2251351	1.9236353296242021	13.396578130971044	84.67978653940476
76475	495777	3323061	1.9632568679333342	12.727526645483945	85.30921648658273
109241	676857	4813063	1.951024448127139	12.088543265678554	85.9604322861943
152431	951981	7007533	1.8790931151530244	11.735545544256032	86.38536134059095
216916	1446636	10511787	1.781601317219997	11.881689700796011	86.33670898198399
326866	2384605	16470380	1.7040378428546858	12.43156877821645	85.86439337892887
524672	4122609	26821692	1.667267628975372	13.100551454284828	85.2321809167398
882307	7170795	44487041	1.6793007205937753	13.648221322884485	84.67247795652175
1502746	12140669	73700701	1.7204891054138094	13.899813239852357	84.37969765473383
2524957	19772370	120151382	1.7725376507273225	13.880343415397327	84.34711893387535
