#M	#F	#H	%M	%F	%H
0	0	1	0.0	0.0	100.0
0	0	1	0.0	0.0	100.0
1	6	12	5.2631578947368425	31.57894736842105	63.1578947368421
4	21	25	8.0	42.0	50.0
6	29	56	6.593406593406593	31.86813186813187	61.53846153846154
7	32	90	5.426356589147287	24.8062015503876	69.76744186046511
7	34	127	4.166666666666667	20.238095238095237	75.5952380952381
8	39	158	3.902439024390244	19.024390243902438	77.07317073170732
8	47	190	3.2653061224489797	19.183673469387756	77.55102040816327
8	52	211	2.952029520295203	19.18819188191882	77.85977859778598
19	131	437	3.2367972742759794	22.31686541737649	74.44633730834752
65	441	1046	4.188144329896907	28.414948453608247	67.39690721649484
163	1078	2428	4.442627418915236	29.381302807304444	66.17606977378033
348	2049	4799	4.836020011117287	28.47415230683713	66.68982768204557
585	3179	8474	4.780192841967642	25.97646674293185	69.2433404151005
848	4413	13256	4.579575525193066	23.832154236647405	71.58827023815952
1099	5746	19335	4.197860962566845	21.948051948051948	73.85408708938121
1353	7194	26301	3.882575757575758	20.643939393939394	75.47348484848484
1784	10020	37422	3.6241010847925894	20.35509690001219	76.02080201519522
3195	19117	60157	3.8741830263492947	23.180831585201712	72.944985388449
6992	43009	113161	4.285311530871159	26.359691594856645	69.35499687427219
15374	92592	224981	4.617551742469522	27.809831594818395	67.57261666271208
30503	177633	435733	4.7374543579516954	27.588375896339162	67.67416974570914
54268	304540	786190	4.739571597504974	26.597426371050428	68.66300203144459
87124	476499	1322567	4.6190468616629285	25.26251332050324	70.11843981783383
129312	697534	2078124	4.451405694378944	24.011745388076296	71.53684891754476
183209	990532	3140611	4.2465009809120815	22.958998245854765	72.79450077323315
265774	1468580	4742628	4.103361720010955	22.673831732124622	73.22280654786442
425247	2442946	7534730	4.087764563863445	23.48326523228135	72.4289702038552
770672	4548267	12891750	4.2319760663641	24.97580953691538	70.79221439672052
1485582	8788039	23346010	4.418793293715805	26.13960575593468	69.44160095034951
2829535	16481878	42786807	4.556547675601652	26.541627119102607	68.90182520529574
5107966	29150119	76697213	4.603625146408061	26.27194872659438	69.12442612699756
8649272	48433919	131921196	4.576228169772588	25.625817352059663	69.79795447816775
13812327	76362424	217474970	4.4896276697744835	24.821223224837574	70.68914910538794
21253042	117043524	347125803	4.3782576488558975	24.111687362310246	71.51005498883386
32596216	180961270	548272386	4.278673913694999	23.753501490421996	71.967824595883
