#M	#F	#H	%M	%F	%H
0	0	1	0.0	0.0	100.0
0	0	1	0.0	0.0	100.0
0	0	20	0.0	0.0	100.0
0	0	52	0.0	0.0	100.0
1	4	87	1.0869565217391304	4.3478260869565215	94.56521739130434
1	10	120	0.7633587786259542	7.633587786259542	91.6030534351145
3	21	146	1.7647058823529411	12.352941176470589	85.88235294117646
3	31	174	1.4423076923076923	14.903846153846153	83.65384615384616
3	39	205	1.214574898785425	15.789473684210526	82.99595141700405
3	46	225	1.094890510948905	16.78832116788321	82.11678832116789
3	52	247	0.9933774834437086	17.218543046357617	81.78807947019868
3	56	264	0.9287925696594427	17.3374613003096	81.73374613003097
3	58	702	0.3931847968545216	7.601572739187418	92.00524246395806
3	58	2122	0.1374255611543747	2.6568941823179113	97.20568025652771
22	134	4947	0.43111894963746816	2.625906329610033	96.9429747207525
58	376	9240	0.5995451726276618	3.886706636344842	95.5137481910275
137	917	14660	0.8718340333460608	5.8355606465572105	93.29260532009673
245	1801	21037	1.061387168045748	7.802278733266906	91.13633409868734
351	2960	28401	1.1068365287588295	9.334006054490414	89.55915741675075
453	4330	36386	1.1003424907090287	10.51762248293619	88.38203502635479
543	5856	44796	1.0606504541459127	11.438617052446528	87.50073249340755
625	7467	53256	1.0187781182760645	12.171545934667797	86.80967594705614
713	9111	70724	0.8851864726622635	11.31126781546407	87.80354571187367
772	10649	124608	0.5675260422409927	7.828477751067787	91.60399620669122
1254	13747	262486	0.45191306259392333	4.954105958116957	94.59398097928911
2784	23177	542630	0.48963138706029463	4.076216471945564	95.43415214099414
6727	48651	1014960	0.6284930554647223	4.545386597504714	94.82612034703057
14400	103359	1716001	0.7852717912922084	5.636451880289678	93.57827632841811
26354	199963	2675672	0.9081357648150975	6.890549895261492	92.20131433992341
42475	348113	3911593	0.9872899350352763	8.09154705485427	90.92116301011045
62049	553657	5430080	1.026318166074684	9.15773399852393	89.81594783540139
84316	818556	7217340	1.038347274677065	10.08047573142179	88.88117699390115
109065	1141800	9442836	1.0198994716609338	10.677313682138672	88.30278684620039
135139	1516431	13001347	0.9222668769638155	10.349004228987306	88.72872889404887
170965	1968319	20285616	0.7623891299403788	8.777381393005097	90.46022947705453
244867	2649783	35828290	0.6323564274820042	6.8429282487331795	92.52471532378482
427111	4005058	66307151	0.6037816026504071	5.661714022696288	93.7345043746533
840478	6936902	120021049	0.6576591015841048	5.428002561752931	93.91433833666296
