#M	#F	#H	%M	%F	%H
0	0	1	0.0	0.0	100.0
0	0	1	0.0	0.0	100.0
0	7	12	0.0	36.8421052631579	63.1578947368421
0	26	25	0.0	50.98039215686274	49.01960784313726
0	36	56	0.0	39.130434782608695	60.869565217391305
0	41	90	0.0	31.297709923664122	68.70229007633588
0	44	127	0.0	25.730994152046783	74.26900584795321
0	51	158	0.0	24.401913875598087	75.59808612440192
0	59	190	0.0	23.694779116465863	76.30522088353413
0	65	211	0.0	23.55072463768116	76.44927536231884
0	121	309	0.0	28.13953488372093	71.86046511627907
0	391	626	0.0	38.4464110127827	61.5535889872173
0	973	1332	0.0	42.21258134490239	57.78741865509761
0	1726	2635	0.0	39.57807842238019	60.42192157761981
0	2632	4804	0.0	35.39537385691232	64.60462614308769
0	3956	7891	0.0	33.392420021946485	66.60757997805352
0	5732	12175	0.0	32.00982855866421	67.99017144133579
0	7821	17665	0.0	30.68743623950404	69.31256376049596
0	10354	24937	0.0	29.338924938369555	70.66107506163044
0	15450	36065	0.0	29.991264680190238	70.00873531980976
0	27857	56557	0.0	33.00045016229535	66.99954983770465
0	52882	94949	0.0	35.771928756485444	64.22807124351455
0	94331	165650	0.0	36.28380535500671	63.71619464499329
0	160061	289268	0.0	35.62222781080233	64.37777218919767
0	264731	493189	0.0	34.9286204348744	65.07137956512561
0	421772	811780	0.0	34.19166763946716	65.80833236053283
0	640980	1289736	0.0	33.19908262012642	66.80091737987358
0	950564	1993592	0.0	32.286468515934615	67.71353148406538
0	1439442	3057133	0.0	32.01196466199274	67.98803533800726
0	2291835	4740256	0.0	32.59108848278556	67.40891151721443
0	3785209	7517152	0.0	33.4904273540723	66.50957264592769
0	6326574	12208414	0.0	34.13314322081028	65.86685677918972
0	10599177	20178151	0.0	34.438262476846596	65.56173752315341
0	17685923	33528123	0.0	34.53334462190314	65.46665537809686
0	29006595	55370531	0.0	34.3773204600498	65.6226795399502
0	46413802	90218728	0.0	33.969803530681894	66.0301964693181
0	72941557	144857195	0.0	33.49034662971806	66.50965337028194
0	114270826	230136932	0.0	33.178934953027394	66.8210650469726
0	180496841	364208391	0.0	33.136608645609634	66.86339135439037
0	288369756	577859595	0.0	33.29023146896347	66.70976853103653
0	465698418	923614265	0.0	33.52005806168833	66.47994193831167
0	759383265	1489801457	0.0	33.76260106927758	66.23739893072242
0	1244982101	2420749329	0.0	33.96271998573556	66.03728001426444
