#M	#F	#H	%M	%F	%H
0	0	1	0.0	0.0	100.0
0	0	1	0.0	0.0	100.0
0	0	20	0.0	0.0	100.0
0	0	53	0.0	0.0	100.0
0	0	95	0.0	0.0	100.0
0	0	135	0.0	0.0	100.0
0	0	176	0.0	0.0	100.0
0	0	215	0.0	0.0	100.0
0	0	256	0.0	0.0	100.0
0	0	284	0.0	0.0	100.0
0	0	313	0.0	0.0	100.0
0	0	335	0.0	0.0	100.0
0	0	712	0.0	0.0	100.0
0	0	1975	0.0	0.0	100.0
0	0	4666	0.0	0.0	100.0
0	0	8961	0.0	0.0	100.0
0	0	14924	0.0	0.0	100.0
0	0	22471	0.0	0.0	100.0
0	0	31647	0.0	0.0	100.0
0	0	41973	0.0	0.0	100.0
0	0	53168	0.0	0.0	100.0
0	0	64748	0.0	0.0	100.0
0	0	83226	0.0	0.0	100.0
0	0	130025	0.0	0.0	100.0
0	0	247753	0.0	0.0	100.0
0	0	493922	0.0	0.0	100.0
0	0	934217	0.0	0.0	100.0
0	0	1633725	0.0	0.0	100.0
0	0	2657899	0.0	0.0	100.0
0	0	4058268	0.0	0.0	100.0
0	0	5869223	0.0	0.0	100.0
0	0	8098701	0.0	0.0	100.0
0	0	10862799	0.0	0.0	100.0
0	0	14761140	0.0	0.0	100.0
0	0	21555053	0.0	0.0	100.0
0	0	34865364	0.0	0.0	100.0
0	0	60714936	0.0	0.0	100.0
0	0	107722033	0.0	0.0	100.0
0	0	187156020	0.0	0.0	100.0
0	0	312569749	0.0	0.0	100.0
0	0	499121941	0.0	0.0	100.0
0	0	762413395	0.0	0.0	100.0
0	0	1119746556	0.0	0.0	100.0
0	0	1600229942	0.0	0.0	100.0
0	0	2274317597	0.0	0.0	100.0
0	0	3309153007	0.0	0.0	100.0
0	0	5049765977	0.0	0.0	100.0
0	0	8116647728	0.0	0.0	100.0
0	0	13511067454	0.0	0.0	100.0
0	0	22713326357	0.0	0.0	100.0
0	0	37759090780	0.0	0.0	100.0
0	0	61271969972	0.0	0.0	100.0
0	0	96487419507	0.0	0.0	100.0
0	0	147462819822	0.0	0.0	100.0
0	0	219990191497	0.0	0.0	100.0
0	0	324047103589	0.0	0.0	100.0
0	0	478804936397	0.0	0.0	100.0
0	0	721070181692	0.0	0.0	100.0
0	0	1117734627180	0.0	0.0	100.0
0	0	1782283794872	0.0	0.0	100.0
0	0	2894795709738	0.0	0.0	100.0
0	0	4723975839242	0.0	0.0	100.0
0	0	7649908094409	0.0	0.0	100.0
0	0	12190085044275	0.0	0.0	100.0
0	0	19044140034623	0.0	0.0	100.0
0	0	29197434053823	0.0	0.0	100.0
0	0	44159168115246	0.0	0.0	100.0
0	0	66448394954591	0.0	0.0	100.0
0	0	100472646661698	0.0	0.0	100.0
0	0	153958710253334	0.0	0.0	100.0
0	0	240086691572344	0.0	0.0	100.0
0	0	380436288565492	0.0	0.0	100.0
0	0	608792755808332	0.0	0.0	100.0
0	0	975861662840925	0.0	0.0	100.0
0	0	1555241304949351	0.0	0.0	100.0
0	0	2451982931438726	0.0	0.0	100.0
0	0	3817182629275932	0.0	0.0	100.0
0	0	5875581550564385	0.0	0.0	100.0
0	0	8978098022443170	0.0	0.0	100.0
0	0	13697163158685567	0.0	0.0	100.0
0	0	20988909991648334	0.0	0.0	100.0
0	0	32451459664557611	0.0	0.0	100.0
0	0	50711578906094212	0.0	0.0	100.0
0	0	79973303286695182	0.0	0.0	100.0
0	0	126767987182834715	0.0	0.0	100.0
0	0	200973224429516778	0.0	0.0	100.0
0	0	317251804540939223	0.0	0.0	100.0
0	0	497249887159129074	0.0	0.0	100.0
0	0	773242053737115352	0.0	0.0	100.0
0	0	1194469819546642078	0.0	0.0	100.0
0	0	1838217839189292583	0.0	0.0	100.0
0	0	2828696368043809758	0.0	0.0	100.0
0	0	4367987057458532457	0.0	0.0	100.0
0	0	6784574613144630116	0.0	0.0	100.0
0	0	10606351129432884245	0.0	0.0	100.0
0	0	16666885271526032067	0.0	0.0	100.0
0	0	26257574056555810371	0.0	0.0	100.0
0	0	41346961977067198239	0.0	0.0	100.0
0	0	64906972041029356295	0.0	0.0	100.0
0	0	101421127995849922808	0.0	0.0	100.0
0	0	157710801883020277435	0.0	0.0	100.0
0	0	244311302780249100667	0.0	0.0	100.0
