#M	#F	#H	%M	%F	%H
0	0	1	0.0	0.0	100.0
0	0	1	0.0	0.0	100.0
1	16	1	5.555555555555555	88.88888888888889	5.555555555555555
4	45	1	8.0	90.0	2.0
8	82	1	8.791208791208792	90.10989010989012	1.098901098901099
12	117	1	9.23076923076923	90.0	0.7692307692307693
16	153	1	9.411764705882353	90.0	0.5882352941176471
19	187	1	9.178743961352657	90.33816425120773	0.4830917874396135
23	223	1	9.31174089068826	90.2834008097166	0.4048582995951417
25	247	1	9.157509157509157	90.47619047619048	0.3663003663003663
28	272	257	5.026929982046679	48.833034111310596	46.14003590664273
30	291	1137	2.05761316872428	19.958847736625515	77.98353909465021
31	305	3059	0.9131075110456554	8.98379970544919	90.10309278350516
31	313	6265	0.4690573460432743	4.735966106824028	94.79497654713269
31	318	10675	0.28120464441219156	2.8846153846153846	96.83417997097243
31	320	16110	0.18832391713747645	1.9439888220642731	97.86768726079825
31	320	22512	0.135590254997157	1.3996413419061366	98.46476840309671
31	320	29648	0.10333677789259642	1.066702223407447	98.82996099869996
31	320	37337	0.08225429845043515	0.8490766291657822	99.06866907238378
31	320	45197	0.06806006849916571	0.7025555457978396	99.229384385703
287	4416	52849	0.49867945510147343	7.6730608840700585	91.82825966082846
1935	25920	60115	2.199613504603842	29.464590201204956	68.3357962941912
7521	91664	66721	4.5332899352645475	55.250563572143264	40.21614649259219
21037	240218	72471	6.303674271707928	71.98060684513644	21.715718883155642
47297	514882	77315	7.396003715437518	80.51396885662727	12.090027427935212
90761	955992	81229	8.046316341927442	84.75241626196163	7.201267396110931
155281	1599718	84310	8.442355254065522	86.97385811736908	4.583786628565401
243622	2473564	86652	8.6888757481709	88.22064612862798	3.0904781232011262
357540	3595101	153884	8.706631519350303	87.54606388613243	3.7473045945172623
497409	4965953	605645	8.195887729244669	81.82480264069558	9.979309630059744
661689	6569899	2364908	6.895110465319842	68.4614363409311	24.643453193749053
846759	8375098	7389618	5.097434153198316	50.41754570259414	44.485020144207546
1047418	10336474	18984487	3.449041517823523	34.036963250491574	62.5139952316849
1256845	12396488	41852852	2.264333245024856	22.33352553413642	75.40214122083873
1468129	14492332	81926847	1.4998154816965648	14.80511855530852	83.69506596299492
1674486	16559925	146017360	1.0194629804022022	10.082037410726	88.8984996088718
1869978	18541567	241420995	0.7141885420353025	7.081460157702324	92.20435130026237
2049876	20389289	375396992	0.5152563345317053	5.12504674128953	94.35969692417876
