time_points,Observed,Rhabdias-like,Hermaphroditic,Reversed-proportions,No developmental delay of hermaphrodites
0,1,1,1,1,1
8,1,1,1,1,1
16,19,18,20,20,19
24,50,50,53,52,50
32,91,91,95,92,91
40,129,130,135,131,129
48,168,170,176,170,168
56,205,207,215,208,205
64,245,247,256,247,245
72,271,273,284,274,271
80,389,557,313,302,587
88,779,1458,335,323,1552
96,1682,3395,712,763,3669
104,3260,6609,1975,2183,7196
112,5800,11024,4666,5103,12238
120,9412,16461,8961,9674,18517
128,14513,22863,14924,15714,26180
136,21046,29999,22471,23083,34848
144,29114,37688,31647,31712,49226
152,39070,45548,41973,41169,82469
160,55310,57552,53168,51195,163162
168,87227,87970,64748,61348,332947
176,150183,165906,83226,80548,643869
184,265820,333726,130025,136029,1144998
192,463027,639494,247753,277487,1886190
200,774529,1127982,493922,568591,2904970
208,1242557,1839309,934217,1070338,4314352
216,1910361,2803838,1633725,1833760,6476982
224,2844532,4106525,2657899,2901989,10402923
232,4175048,6069007,4058268,4302181,18210689
240,6199432,9596496,5869223,6045786,33619631
248,9486976,16611475,8098701,8120212,62098220
256,15068312,30368379,10862799,10693701,110955298
264,24620719,55506185,14761140,14652917,189004387
272,40698994,97887308,21555053,22424900,307649721
280,66946062,164251771,34865364,38722940,485422369
288,108350789,261832540,60714936,70739320,761829872
296,171525024,397836157,107722033,127798429,1224458912
304,265967508,579859348,187156020,220837025,2053616670
312,406837287,820473565,312569749,361694878,3578706845
320,620580123,1151223868,499121941,562365683,6342907615
328,953963476,1650945458,762413395,833928119,11162205645
336,1488658465,2488957543,1119746556,1189814829,19198392950
344,2360649148,3977147406,1600229942,1663848997,32108680565
352,3787262480,6622178198,2274317597,2355528910,52476422680
360,6101321410,11168360909,3309153007,3507043725,84866559044
368,9796237351,18641427391,5049765977,5598503263,1.38E+11
376,15593197003,30459412229,8116647728,9437788317,2.29E+11
384,24562657865,48789801308,13511067454,16227972488,3.88E+11
392,38345384330,77481773563,22713326357,27601787629,6.69E+11
400,59558823453,1.24E+11,37759090780,45620748051,1.16E+12
408,92498782086,2.03E+11,61271969972,72729534835,1.98E+12
416,1.44E+11,3.40E+11,96487419507,1.12E+11,3.35E+12
424,2.27E+11,5.79E+11,1.47E+11,1.66E+11,5.59E+12
432,3.59E+11,9.90E+11,2.20E+11,2.43E+11,9.21E+12
440,5.70E+11,1.67E+12,3.24E+11,3.53E+11,1.52E+13
448,9.07E+11,2.77E+12,4.79E+11,5.26E+11,2.51E+13
456,1.44E+12,4.47E+12,7.21E+11,8.12E+11,4.22E+13
464,2.28E+12,7.02E+12,1.12E+12,1.31E+12,7.15E+13
472,3.59E+12,1.08E+13,1.78E+12,2.15E+12,1.22E+14
480,5.62E+12,1.62E+13,2.89E+12,3.58E+12,2.08E+14
488,8.80E+12,2.42E+13,4.72E+12,5.88E+12,3.53E+14
496,1.38E+13,3.62E+13,7.65E+12,9.46E+12,5.92E+14
504,2.16E+13,5.50E+13,1.22E+13,1.48E+13,9.87E+14
512,3.40E+13,8.53E+13,1.90E+13,2.27E+13,1.64E+15
520,5.37E+13,1.35E+14,2.92E+13,3.41E+13,2.73E+15
528,8.50E+13,2.16E+14,4.42E+13,5.08E+13,4.56E+15
536,1.35E+14,3.47E+14,6.64E+13,7.63E+13,7.69E+15
544,2.13E+14,5.60E+14,1.00E+14,1.17E+14,1.30E+16
552,3.36E+14,9.04E+14,1.54E+14,1.83E+14,2.21E+16
560,5.28E+14,1.46E+15,2.40E+14,2.93E+14,3.73E+16
568,8.30E+14,2.38E+15,3.80E+14,4.76E+14,6.29E+16
576,1.30E+15,3.91E+15,6.09E+14,7.73E+14,1.05E+17
584,2.05E+15,6.49E+15,9.76E+14,1.24E+15,1.76E+17
592,3.22E+15,1.08E+16,1.56E+15,1.97E+15,2.94E+17
600,5.08E+15,1.81E+16,2.45E+15,3.06E+15,4.92E+17
608,8.01E+15,3.00E+16,3.82E+15,4.69E+15,8.26E+17
616,1.26E+16,4.92E+16,5.88E+15,7.13E+15,1.39E+18
624,2.00E+16,7.96E+16,8.98E+15,1.08E+16,2.35E+18
632,3.15E+16,1.27E+17,1.37E+16,1.65E+16,3.97E+18
640,4.96E+16,1.99E+17,2.10E+16,2.57E+16,6.69E+18
648,7.81E+16,3.09E+17,3.25E+16,4.05E+16,1.12E+19
656,1.23E+17,4.75E+17,5.07E+16,6.45E+16,1.88E+19
664,1.93E+17,7.29E+17,8.00E+16,1.03E+17,3.16E+19
672,3.04E+17,1.12E+18,1.27E+17,1.66E+17,5.29E+19
680,4.79E+17,1.73E+18,2.01E+17,2.63E+17,8.87E+19
688,7.55E+17,2.71E+18,3.17E+17,4.12E+17,1.49E+20
696,1.19E+18,4.26E+18,4.97E+17,6.40E+17,2.51E+20
704,1.88E+18,6.75E+18,7.73E+17,9.84E+17,4.23E+20
712,2.96E+18,1.08E+19,1.19E+18,1.51E+18,7.13E+20
720,4.67E+18,1.73E+19,1.84E+18,2.32E+18,1.20E+21
728,7.35E+18,2.79E+19,2.83E+18,3.59E+18,2.01E+21
736,1.16E+19,4.54E+19,4.37E+18,5.60E+18,3.38E+21
744,1.82E+19,7.42E+19,6.78E+18,8.84E+18,5.67E+21
752,2.87E+19,1.22E+20,1.06E+19,1.40E+19,9.51E+21
760,4.52E+19,2.01E+20,1.67E+19,2.23E+19,1.60E+22
768,7.12E+19,3.32E+20,2.63E+19,3.53E+19,2.69E+22
